11,1,1,The Speckled Band,1.78,760505847,237000000,120,33000,2,207,901,508
11,1,2,Two Fingers,2.35,309404152,300000000,119,650000,0,207,902,507
11,1,3,Five Engineers,2.35,200074175,245000000,110,85000,1,212,903,502
11,2,1,The Hounds of Baskerville,2.35,448130642,250000000,112,164000,0,204,904,509
11,2,2,The Napolean Statue,2.35,73058679,263700000,111,24000,1,202,905,515
11,2,3,The Letter,2.35,336530303,258000000,99,456000,0,213,906,501
11,3,1,The Blue Carbuncle,1.85,200807262,260000000,100,29000,1,210,907,509
11,3,2,Halo Night,2.35,458991599,250000000,123,118000,4,208,908,512
11,3,3,The Redheaded League,2.35,301956980,250000000,115,10000,3,205,909,509
12,1,1,The One Where Monica Gets a Roommate,2.35,330249062,250000000,183,197000,0,214,910,504
12,1,2,The One with the Sonogram at the End,2.35,200069408,209000000,169,5600000,0,203,911,504
12,1,3,The One with the Thumb,2.35,168368427,200000000,106,678000,1,209,912,509
12,1,4,The One with George Stephanopoulos,2.35,423032628,225000000,151,5000,2,206,913,502
12,2,1,The One with Ross New Girlfriend,2.35,89289910,215000000,150,48000,1,206,914,507
12,2,2,The One Where Heckles Dies,2.35,291021565,225000000,143,118000,0,214,915,502
12,2,3,The One with Phoebe Husband,2.35,141614023,225000000,150,33444,4,201,916,509
12,2,4,The One with the Baby on the Bus,1.85,623279547,220000000,173,123000,3,208,917,515
12,2,5,The One with Five Steaks and an Eggplant,2.35,241063875,250000000,136,58000,4,211,918,509
