701,301,104
702,301,119
703,301,143
704,302,120
705,302,128
706,302,117
707,303,107
708,303,133
709,303,139
710,304,141
711,304,106
712,304,121
713,305,110
714,305,137
715,305,131
716,306,116
717,306,118
718,306,123
719,307,103
720,307,111
721,307,125
722,308,105
723,308,132
724,308,138
725,309,102
726,309,109
727,309,134
728,310,115
729,310,124
730,310,101
731,311,122
732,311,126
733,311,112
734,312,113
735,312,127
736,312,133
737,313,120
738,313,128
739,313,117
740,314,120
741,314,135
742,314,142
743,315,115
744,315,108
745,315,114
746,316,129
747,316,130
748,316,117
749,317,105
750,317,132
751,317,138
752,318,120
753,318,136
754,318,140
